Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2019,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_MATH,PT,63.6
2020,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_MATH,PT,70.2
2022,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_MATH,PT,66.9
2023,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_MATH,PT,67.1
2024,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_MATH,PT,97.0
2025,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_MATH,PT,97.1
2006,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_READ,PT,82.1
2012,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_READ,PT,69.1
2013,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_READ,PT,73.6
2014,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_READ,PT,73.0
2015,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_READ,PT,81.4
2016,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_READ,PT,72.2
2017,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_READ,PT,74.3
2019,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_READ,PT,76.1
2020,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_READ,PT,76.9
2022,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_READ,PT,83.5
2023,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_READ,PT,89.7
2024,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_READ,PT,95.0
2025,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_READ,PT,97.6
